Symbol,Trade DATE,NOCP
BERY,1/2/2019,46.75
BERY,1/3/2019,46.87
BERY,1/4/2019,47.88
BERY,1/7/2019,48.65
BERY,1/8/2019,49.03
BERY,1/9/2019,48.87
BERY,1/10/2019,50.1
BERY,1/11/2019,50.72
BERY,1/14/2019,50.3
BERY,1/15/2019,50.19
BERY,1/16/2019,50.19
BERY,1/17/2019,50.36
BERY,1/18/2019,50.42
BERY,1/22/2019,50.63
BERY,1/23/2019,50.29
BERY,1/24/2019,50.59
BERY,1/25/2019,51.03
BERY,1/28/2019,50.8
BERY,1/29/2019,50.38
BERY,1/30/2019,50.7
BERY,1/31/2019,49.25
BERY,2/1/2019,48.26
BERY,2/4/2019,49.37
BERY,2/5/2019,49.9
BERY,2/6/2019,50.56
BERY,2/7/2019,50.62
BERY,2/8/2019,49.7
BERY,2/11/2019,50
BERY,2/12/2019,50.99
BERY,2/13/2019,51.44
BERY,2/14/2019,51.56
BERY,2/15/2019,51.55
BERY,2/19/2019,51.94
BERY,2/20/2019,52.4
BERY,2/21/2019,52.35
BERY,2/22/2019,52.43
BERY,2/25/2019,52.97
BERY,2/26/2019,52.54
BERY,2/27/2019,52.53
BERY,2/28/2019,52.47
BERY,3/1/2019,53.25
BERY,3/4/2019,52.89
BERY,3/5/2019,52.99
BERY,3/6/2019,52.34
BERY,3/7/2019,51.72
BERY,3/8/2019,52.14
BERY,3/11/2019,54.72
BERY,3/12/2019,54.99
BERY,3/13/2019,55.58
BERY,3/14/2019,55.06
BERY,3/15/2019,55.64
BERY,3/18/2019,55.58
BERY,3/19/2019,54.52
BERY,3/20/2019,53.94
BERY,3/21/2019,53.85
BERY,3/22/2019,53.59
BERY,3/25/2019,53.86
BERY,3/26/2019,54.67
BERY,3/27/2019,53.9
BERY,3/28/2019,53.83
BERY,3/29/2019,53.87
BERY,4/1/2019,54.41
BERY,4/2/2019,53.98
BERY,4/3/2019,54.87
BERY,4/4/2019,55.31
BERY,4/5/2019,55.64
BERY,4/8/2019,56.05
BERY,4/9/2019,55.57
BERY,4/10/2019,56.59
BERY,4/11/2019,57.62
BERY,4/12/2019,58.49
BERY,4/15/2019,58.83
BERY,4/16/2019,58.31
BERY,4/17/2019,57.29
BERY,4/18/2019,57.53
BERY,4/22/2019,57.36
BERY,4/23/2019,57.89
BERY,4/24/2019,57.95
BERY,4/25/2019,57.68
BERY,4/26/2019,58.24
BERY,4/29/2019,58.53
BERY,4/30/2019,58.8
BERY,5/1/2019,58.75
BERY,5/2/2019,53.57
BERY,5/3/2019,53.97
BERY,5/6/2019,53.4
BERY,5/7/2019,52.59
BERY,5/8/2019,51.47
BERY,5/9/2019,51.07
BERY,5/10/2019,50.9
BERY,5/13/2019,49.64
BERY,5/14/2019,49.31
BERY,5/15/2019,48.56
BERY,5/16/2019,48.8
BERY,5/17/2019,48.62
BERY,5/20/2019,48.14
BERY,5/21/2019,48.45
BERY,5/22/2019,47.66
BERY,5/23/2019,47.75
BERY,5/24/2019,47.87
BERY,5/28/2019,47.69
BERY,5/29/2019,47.26
BERY,5/30/2019,47.22
BERY,5/31/2019,47.02
BERY,6/3/2019,47.58
BERY,6/4/2019,48.92
BERY,6/5/2019,49.08
BERY,6/6/2019,50.16
BERY,6/7/2019,50.32
BERY,6/10/2019,50.51
BERY,6/11/2019,50.16
BERY,6/12/2019,49.89
BERY,6/13/2019,50.16
BERY,6/14/2019,50.75
BERY,6/17/2019,50.77
BERY,6/18/2019,51.44
BERY,6/19/2019,51.34
BERY,6/20/2019,50.93
BERY,6/21/2019,50.18
BERY,6/24/2019,50.57
BERY,6/25/2019,51.36
BERY,6/26/2019,50.64
BERY,6/27/2019,51.47
BERY,6/28/2019,52.59
BERY,7/1/2019,53.81
BERY,7/2/2019,53.87
BERY,7/3/2019,54.21
BERY,7/5/2019,54.36
BERY,7/8/2019,54.31
BERY,7/9/2019,53.75
BERY,7/10/2019,53.8
BERY,7/11/2019,54.16
BERY,7/12/2019,53.06
BERY,7/15/2019,52.45
BERY,7/16/2019,53.84
BERY,7/17/2019,53.67
BERY,7/18/2019,54.49
BERY,7/19/2019,53.65
BERY,7/22/2019,53.26
BERY,7/23/2019,54.08
BERY,7/24/2019,54.15
BERY,7/25/2019,53.85
BERY,7/26/2019,54.48
BERY,7/29/2019,55.19
BERY,7/30/2019,46.94
BERY,7/31/2019,45.05
BERY,8/1/2019,43.69
BERY,8/2/2019,43.65
BERY,8/5/2019,42.63
BERY,8/6/2019,42.37
BERY,8/7/2019,42.28
BERY,8/8/2019,42.48
BERY,8/9/2019,42.21
BERY,8/12/2019,41.15
BERY,8/13/2019,41.08
BERY,8/14/2019,39.2
BERY,8/15/2019,38.97
BERY,8/16/2019,39.62
BERY,8/19/2019,39.92
BERY,8/20/2019,39.41
BERY,8/21/2019,39.91
BERY,8/22/2019,41.01
BERY,8/23/2019,40.01
BERY,8/26/2019,39.92
BERY,8/27/2019,38.62
BERY,8/28/2019,38.91
BERY,8/29/2019,39.11
BERY,8/30/2019,39.14
BERY,9/3/2019,38.24
BERY,9/4/2019,38.35
BERY,9/5/2019,38.81
BERY,9/6/2019,38.77
BERY,9/9/2019,38.21
BERY,9/10/2019,39.67
BERY,9/11/2019,39.39
BERY,9/12/2019,38.99
BERY,9/13/2019,40.59
BERY,9/16/2019,39.66
BERY,9/17/2019,39.51
BERY,9/18/2019,39.22
BERY,9/19/2019,38.64
BERY,9/20/2019,38.94
BERY,9/23/2019,39.46
BERY,9/24/2019,39.18
BERY,9/25/2019,39.77
BERY,9/26/2019,39.33
BERY,9/27/2019,39.32
BERY,9/30/2019,39.27
BERY,10/1/2019,38.15
BERY,10/2/2019,37.37
BERY,10/3/2019,37.65
BERY,10/4/2019,38.12
BERY,10/7/2019,38.36
BERY,10/8/2019,37.52
BERY,10/9/2019,38.01
BERY,10/10/2019,38.24
BERY,10/11/2019,39.03
BERY,10/14/2019,38.5
BERY,10/15/2019,38.39
BERY,10/16/2019,38.49
BERY,10/17/2019,38.79
BERY,10/18/2019,39.3
BERY,10/21/2019,39.57
BERY,10/22/2019,40.2
BERY,10/23/2019,41.38
BERY,10/24/2019,41.65
BERY,10/25/2019,42.43
