Symbol,Trade DATE,NOCP
BERY,5/11/2018 16:00,49.07
BERY,5/14/2018 16:00,48.78
BERY,5/15/2018 16:00,47.7
BERY,5/16/2018 16:00,47.7
BERY,5/17/2018 16:00,47.53
BERY,5/18/2018 16:00,48.35
BERY,5/21/2018 16:00,48.35
BERY,5/22/2018 16:00,49.06
BERY,5/23/2018 16:00,49.75
BERY,5/24/2018 16:00,49.58
BERY,5/25/2018 16:00,50.1
BERY,5/29/2018 16:00,48.44
BERY,5/30/2018 16:00,49.45
BERY,5/31/2018 16:00,49.45
BERY,6/1/2018 16:00,48.2
BERY,6/4/2018 16:00,48.26
BERY,6/5/2018 16:00,47.31
BERY,6/6/2018 16:00,47.23
BERY,6/7/2018 16:00,46.7
BERY,6/8/2018 16:00,47.29
BERY,6/11/2018 16:00,47.75
BERY,6/12/2018 16:00,47.79
BERY,6/13/2018 16:00,46.37
BERY,6/14/2018 16:00,46.17
BERY,6/15/2018 16:00,46.53
BERY,6/18/2018 16:00,46.49
BERY,6/19/2018 16:00,46.45
BERY,6/20/2018 16:00,46.5
BERY,6/21/2018 16:00,46.23
BERY,6/22/2018 16:00,45.68
BERY,6/25/2018 16:00,46.09
BERY,6/26/2018 16:00,46.58
BERY,6/27/2018 16:00,46.32
BERY,6/28/2018 16:00,46.25
BERY,6/29/2018 16:00,45.94
BERY,7/2/2018 16:00,46
BERY,7/3/2018 13:00,46.45
BERY,7/5/2018 16:00,46.64
BERY,7/6/2018 16:00,46.6
BERY,7/9/2018 16:00,46.92
BERY,7/10/2018 16:00,47.58
BERY,7/11/2018 16:00,47.8
BERY,7/12/2018 16:00,47.57
BERY,7/13/2018 16:00,47.15
BERY,7/16/2018 16:00,46.94
BERY,7/17/2018 16:00,47.41
BERY,7/18/2018 16:00,47.85
BERY,7/19/2018 16:00,48.23
BERY,7/20/2018 16:00,48.39
BERY,7/23/2018 16:00,48.33
BERY,7/24/2018 16:00,48.24
BERY,7/25/2018 16:00,48.09
BERY,7/26/2018 16:00,48.6
BERY,7/27/2018 16:00,48.5
BERY,7/30/2018 16:00,48.69
BERY,7/31/2018 16:00,48.85
BERY,8/1/2018 16:00,48.57
BERY,8/2/2018 16:00,48.11
BERY,8/3/2018 16:00,48.02
BERY,8/6/2018 16:00,48.61
BERY,8/7/2018 16:00,48.37
BERY,8/8/2018 16:00,48.18
BERY,8/9/2018 16:00,48.07
BERY,8/10/2018 16:00,46.75
BERY,8/13/2018 16:00,45.84
BERY,8/14/2018 16:00,45.78
BERY,8/15/2018 16:00,46.18
BERY,8/16/2018 16:00,45.72
BERY,8/17/2018 16:00,45.82
BERY,8/20/2018 16:00,46
BERY,8/21/2018 16:00,46.43
BERY,8/22/2018 16:00,46.09
BERY,8/23/2018 16:00,45.72
BERY,8/24/2018 16:00,46.25
BERY,8/27/2018 16:00,47.2
BERY,8/28/2018 16:00,47.49
BERY,8/29/2018 16:00,48.05
BERY,8/30/2018 16:00,47.71
BERY,8/31/2018 16:00,47.73
BERY,9/4/2018 16:00,47.27
BERY,9/5/2018 16:00,47.94
BERY,9/6/2018 16:00,48.25
BERY,9/7/2018 16:00,47.98
BERY,9/10/2018 16:00,48.5
BERY,9/11/2018 16:00,48.22
BERY,9/12/2018 16:00,48.63
BERY,9/13/2018 16:00,49
BERY,9/14/2018 16:00,49.94
BERY,9/17/2018 16:00,50.32
BERY,9/18/2018 16:00,50.82
BERY,9/19/2018 16:00,50.21
BERY,9/20/2018 16:00,50.53
BERY,9/21/2018 16:00,50.14
BERY,9/24/2018 16:00,49.99
BERY,9/25/2018 16:00,47.68
BERY,9/26/2018 16:00,48.42
BERY,9/27/2018 16:00,48.57
BERY,9/28/2018 16:00,48.39
BERY,10/1/2018 16:00,48.2
BERY,10/2/2018 16:00,48.28
BERY,10/3/2018 16:00,47.59
BERY,10/4/2018 16:00,46.97
BERY,10/5/2018 16:00,46.58
BERY,10/8/2018 16:00,47.05
BERY,10/9/2018 16:00,45.03
BERY,10/10/2018 16:00,43.88
BERY,10/11/2018 16:00,42.83
BERY,10/12/2018 16:00,43.09
BERY,10/15/2018 16:00,43.24
BERY,10/16/2018 16:00,43.99
BERY,10/17/2018 16:00,44.23
BERY,10/18/2018 16:00,42.89
BERY,10/19/2018 16:00,42.74
BERY,10/22/2018 16:00,41.86
BERY,10/23/2018 16:00,42.14
BERY,10/24/2018 16:00,40.81
BERY,10/25/2018 16:00,41.17
BERY,10/26/2018 16:00,41.69
BERY,10/29/2018 16:00,41.65
BERY,10/30/2018 16:00,43.1
BERY,10/31/2018 16:00,43.62
BERY,11/1/2018 16:00,45.17
BERY,11/2/2018 16:00,45.1
BERY,11/5/2018 16:00,44.85
BERY,11/6/2018 16:00,44.95
BERY,11/7/2018 16:00,45.93
BERY,11/8/2018 16:00,46.55
BERY,11/9/2018 16:00,46.01
BERY,11/12/2018 16:00,45.98
BERY,11/13/2018 16:00,46.39
BERY,11/14/2018 16:00,45.9
BERY,11/15/2018 16:00,50.31
BERY,11/16/2018 16:00,50.06
BERY,11/19/2018 16:00,49.95
BERY,11/20/2018 16:00,49.32
BERY,11/21/2018 16:00,49.93
BERY,11/23/2018 13:00,50.73
BERY,11/26/2018 16:00,49.79
BERY,11/27/2018 16:00,50.5
BERY,11/28/2018 16:00,50.4
BERY,11/29/2018 16:00,50.47
BERY,11/30/2018 16:00,50.32
BERY,12/3/2018 16:00,50.77
BERY,12/4/2018 16:00,49.48
BERY,12/6/2018 16:00,50
BERY,12/7/2018 16:00,48.06
BERY,12/10/2018 16:00,48.26
BERY,12/11/2018 16:00,48.39
BERY,12/12/2018 16:00,48.08
BERY,12/13/2018 16:00,47.58
BERY,12/14/2018 16:00,48.25
BERY,12/17/2018 16:00,46.96
BERY,12/18/2018 16:00,47.52
BERY,12/19/2018 16:00,47.03
BERY,12/20/2018 16:00,46.76
BERY,12/21/2018 16:00,46.28
BERY,12/24/2018 13:00,45.06
BERY,12/26/2018 16:00,46.98
BERY,12/27/2018 16:00,47.48
BERY,12/28/2018 16:00,46.95
BERY,12/31/2018 16:00,47.53
BERY,1/2/2019 16:00,46.75
BERY,1/3/2019 16:00,46.87
BERY,1/4/2019 16:00,47.88
BERY,1/7/2019 16:00,48.65
BERY,1/8/2019 16:00,49.03
BERY,1/9/2019 16:00,48.87
BERY,1/10/2019 16:00,50.1
BERY,1/11/2019 16:00,50.72
BERY,1/14/2019 16:00,50.3
BERY,1/15/2019 16:00,50.19
BERY,1/16/2019 16:00,50.19
BERY,1/17/2019 16:00,50.36
BERY,1/18/2019 16:00,50.42
BERY,1/22/2019 16:00,50.63
BERY,1/23/2019 16:00,50.29
BERY,1/24/2019 16:00,50.59
BERY,1/25/2019 16:00,51.03
BERY,1/28/2019 16:00,50.8
BERY,1/29/2019 16:00,50.38
BERY,1/30/2019 16:00,50.7
BERY,1/31/2019 16:00,49.25
BERY,2/1/2019 16:00,48.26
BERY,2/4/2019 16:00,49.37
BERY,2/5/2019 16:00,49.9
BERY,2/6/2019 16:00,50.56
BERY,2/7/2019 16:00,50.62
BERY,2/8/2019 16:00,49.7
BERY,2/11/2019 16:00,50
BERY,2/12/2019 16:00,50.99
BERY,2/13/2019 16:00,51.44
BERY,2/14/2019 16:00,51.56
BERY,2/15/2019 16:00,51.55
BERY,2/19/2019 16:00,51.94
BERY,2/20/2019 16:00,52.4
BERY,2/21/2019 16:00,52.35
BERY,2/22/2019 16:00,52.43
BERY,2/25/2019 16:00,52.97
BERY,2/26/2019 16:00,52.54
BERY,2/27/2019 16:00,52.53
BERY,2/28/2019 16:00,52.47
BERY,3/1/2019 16:00,53.25
BERY,3/4/2019 16:00,52.89
BERY,3/5/2019 16:00,52.99
BERY,3/6/2019 16:00,52.34
BERY,3/7/2019 16:00,51.72
BERY,3/8/2019 16:00,52.14
BERY,3/11/2019 16:00,54.72
BERY,3/12/2019 16:00,54.99
BERY,3/13/2019 16:00,55.58
BERY,3/14/2019 16:00,55.06
BERY,3/15/2019 16:00,55.64
BERY,3/18/2019 16:00,55.58
BERY,3/19/2019 16:00,54.52
BERY,3/20/2019 16:00,53.94
BERY,3/21/2019 16:00,53.85
BERY,3/22/2019 16:00,53.59
BERY,3/25/2019 16:00,53.86
BERY,3/26/2019 16:00,54.67
BERY,3/27/2019 16:00,53.9
BERY,3/28/2019 16:00,53.83
BERY,3/29/2019 16:00,53.87
BERY,4/1/2019 16:00,54.41
BERY,4/2/2019 16:00,53.98
BERY,4/3/2019 16:00,54.87
BERY,4/4/2019 16:00,55.31
BERY,4/5/2019 16:00,55.64
BERY,4/8/2019 16:00,56.05
BERY,4/9/2019 16:00,55.57
BERY,4/10/2019 16:00,56.59
BERY,4/11/2019 16:00,57.62
BERY,4/12/2019 16:00,58.49
BERY,4/15/2019 16:00,58.83
BERY,4/16/2019 16:00,58.31
BERY,4/17/2019 16:00,57.29
BERY,4/18/2019 16:00,57.53
BERY,4/22/2019 16:00,57.36
BERY,4/23/2019 16:00,57.89
BERY,4/24/2019 16:00,57.95
BERY,4/25/2019 16:00,57.68
BERY,4/26/2019 16:00,58.24
BERY,4/29/2019 16:00,58.53
BERY,4/30/2019 16:00,58.8
BERY,5/1/2019 16:00,58.75
BERY,5/2/2019 16:00,53.57
BERY,5/3/2019 16:00,53.97
BERY,5/6/2019 16:00,53.4
BERY,5/7/2019 16:00,52.59
BERY,5/8/2019 16:00,51.47
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
BERY,,
