Symbol,Trade DATE,NOCP
CAH,1/2/2019,45.07
CAH,1/3/2019,44.16
CAH,1/4/2019,44.92
CAH,1/7/2019,45.8
CAH,1/8/2019,46.5
CAH,1/9/2019,46.58
CAH,1/10/2019,47.59
CAH,1/11/2019,47.59
CAH,1/14/2019,47.28
CAH,1/15/2019,47.63
CAH,1/16/2019,48.42
CAH,1/17/2019,48.17
CAH,1/18/2019,49.05
CAH,1/22/2019,48.65
CAH,1/23/2019,48.87
CAH,1/24/2019,48.52
CAH,1/25/2019,49.35
CAH,1/28/2019,49.14
CAH,1/29/2019,49.34
CAH,1/30/2019,48.76
CAH,1/31/2019,49.97
CAH,2/1/2019,49.34
CAH,2/4/2019,49.91
CAH,2/5/2019,50.2
CAH,2/6/2019,50.79
CAH,2/7/2019,54.25
CAH,2/8/2019,52.67
CAH,2/11/2019,53.19
CAH,2/12/2019,54.53
CAH,2/13/2019,55.05
CAH,2/14/2019,55.5
CAH,2/15/2019,55.48
CAH,2/19/2019,56.79
CAH,2/20/2019,55.91
CAH,2/21/2019,54.75
CAH,2/22/2019,54.9
CAH,2/25/2019,54.58
CAH,2/26/2019,53.6
CAH,2/27/2019,53.63
CAH,2/28/2019,54.34
CAH,3/1/2019,53.05
CAH,3/4/2019,50.9
CAH,3/5/2019,49.86
CAH,3/6/2019,48.23
CAH,3/7/2019,47.5
CAH,3/8/2019,47.7
CAH,3/11/2019,48.85
CAH,3/12/2019,49.33
CAH,3/13/2019,50.65
CAH,3/14/2019,50.8
CAH,3/15/2019,50.27
CAH,3/18/2019,49.97
CAH,3/19/2019,50.55
CAH,3/20/2019,49.36
CAH,3/21/2019,50.16
CAH,3/22/2019,48.64
CAH,3/25/2019,47.56
CAH,3/26/2019,47.79
CAH,3/27/2019,48.06
CAH,3/28/2019,47.92
CAH,3/29/2019,48.15
CAH,4/1/2019,49.12
CAH,4/2/2019,47.16
CAH,4/3/2019,47.08
CAH,4/4/2019,46.87
CAH,4/5/2019,47.49
CAH,4/8/2019,47.55
CAH,4/9/2019,47.34
CAH,4/10/2019,46.94
CAH,4/11/2019,46.38
CAH,4/12/2019,46.79
CAH,4/15/2019,47.08
CAH,4/16/2019,46.75
CAH,4/17/2019,44.88
CAH,4/18/2019,46
CAH,4/22/2019,45.26
CAH,4/23/2019,46.08
CAH,4/24/2019,46.58
CAH,4/25/2019,46.85
CAH,4/26/2019,47.51
CAH,4/29/2019,47.44
CAH,4/30/2019,48.71
CAH,5/1/2019,47.6
CAH,5/2/2019,48.74
CAH,5/3/2019,49.56
CAH,5/6/2019,49.44
CAH,5/7/2019,48.94
CAH,5/8/2019,49.71
CAH,5/9/2019,50.14
CAH,5/10/2019,48.85
CAH,5/13/2019,46.07
CAH,5/14/2019,46.1
CAH,5/15/2019,46.18
CAH,5/16/2019,45.23
CAH,5/17/2019,45.03
CAH,5/20/2019,45.98
CAH,5/21/2019,46.9
CAH,5/22/2019,46.84
CAH,5/23/2019,45.91
CAH,5/24/2019,45.95
CAH,5/28/2019,45.48
CAH,5/29/2019,43.68
CAH,5/30/2019,42.93
CAH,5/31/2019,42.07
CAH,6/3/2019,42.92
CAH,6/4/2019,43.95
CAH,6/5/2019,43.3
CAH,6/6/2019,42.79
CAH,6/7/2019,43.85
CAH,6/10/2019,44
CAH,6/11/2019,44.64
CAH,6/12/2019,44.22
CAH,6/13/2019,45.27
CAH,6/14/2019,44.16
CAH,6/17/2019,44.46
CAH,6/18/2019,44.54
CAH,6/19/2019,45.04
CAH,6/20/2019,44.77
CAH,6/21/2019,44.7
CAH,6/24/2019,45.01
CAH,6/25/2019,45.75
CAH,6/26/2019,45.63
CAH,6/27/2019,46.61
CAH,6/28/2019,47.1
CAH,7/1/2019,47.56
CAH,7/2/2019,47.17
CAH,7/3/2019,48
CAH,7/5/2019,48.23
CAH,7/8/2019,47.49
CAH,7/9/2019,47.2
CAH,7/10/2019,47.46
CAH,7/11/2019,48.26
CAH,7/12/2019,47.59
CAH,7/15/2019,47.5
CAH,7/16/2019,46.79
CAH,7/17/2019,45.07
CAH,7/18/2019,45.19
CAH,7/19/2019,44.99
CAH,7/22/2019,44.53
CAH,7/23/2019,44.4
CAH,7/24/2019,44.75
CAH,7/25/2019,44.91
CAH,7/26/2019,45.12
CAH,7/29/2019,45.81
CAH,7/30/2019,46.41
CAH,7/31/2019,45.73
CAH,8/1/2019,46.67
CAH,8/2/2019,46.11
CAH,8/5/2019,45.55
CAH,8/6/2019,42.92
CAH,8/7/2019,42.75
CAH,8/8/2019,43.89
CAH,8/9/2019,44.35
CAH,8/12/2019,43.78
CAH,8/13/2019,44.67
CAH,8/14/2019,42.41
CAH,8/15/2019,42
CAH,8/16/2019,43.19
CAH,8/19/2019,43.48
CAH,8/20/2019,43.76
CAH,8/21/2019,43.57
CAH,8/22/2019,43.76
CAH,8/23/2019,42.79
CAH,8/26/2019,43.83
CAH,8/27/2019,41.93
CAH,8/28/2019,41.74
CAH,8/29/2019,42.27
CAH,8/30/2019,43.13
CAH,9/3/2019,43.3
CAH,9/4/2019,44.35
CAH,9/5/2019,44.38
CAH,9/6/2019,45.43
CAH,9/9/2019,46.82
CAH,9/10/2019,47.95
CAH,9/11/2019,48.88
CAH,9/12/2019,48.48
CAH,9/13/2019,48.22
CAH,9/16/2019,48.91
CAH,9/17/2019,48.26
CAH,9/18/2019,47.88
CAH,9/19/2019,48.02
CAH,9/20/2019,47.89
CAH,9/23/2019,47.17
CAH,9/24/2019,47.06
CAH,9/25/2019,47.67
CAH,9/26/2019,47.3
CAH,9/27/2019,47.57
CAH,9/30/2019,47.19
CAH,10/1/2019,47.28
CAH,10/2/2019,45.76
CAH,10/3/2019,45.81
CAH,10/4/2019,46.07
CAH,10/7/2019,45.6
CAH,10/8/2019,44.96
CAH,10/9/2019,45.3
CAH,10/10/2019,46.05
CAH,10/11/2019,46.92
CAH,10/14/2019,46.78
CAH,10/15/2019,47.9
CAH,10/16/2019,49.07
CAH,10/17/2019,51.21
CAH,10/18/2019,51.54
CAH,10/21/2019,50.41
CAH,10/22/2019,50.74
CAH,10/23/2019,50.02
CAH,10/24/2019,49.69
CAH,10/25/2019,50.05
CAH,10/28/2019,50.28
CAH,10/29/2019,51.23
CAH,10/30/2019,50.16
CAH,10/31/2019,49.45
CAH,11/1/2019,50.44
CAH,11/4/2019,51.74
CAH,11/5/2019,51.5
CAH,11/6/2019,51.43
CAH,11/7/2019,53.2
CAH,11/8/2019,53.75
CAH,11/11/2019,53.68
CAH,11/12/2019,54.03
CAH,11/13/2019,54.79
CAH,11/14/2019,54.75
CAH,11/15/2019,56.24
CAH,11/18/2019,56.01
CAH,11/19/2019,55.68
CAH,11/20/2019,55.41
