Symbol,Trade DATE,NOCP
CAH,5/11/2018,55.3
CAH,5/14/2018,55.16
CAH,5/15/2018,54.02
CAH,5/16/2018,54.51
CAH,5/17/2018,54.33
CAH,5/18/2018,53.33
CAH,5/21/2018,53.13
CAH,5/22/2018,52.83
CAH,5/23/2018,52.69
CAH,5/24/2018,52.44
CAH,5/25/2018,52.44
CAH,5/29/2018,51.75
CAH,5/30/2018,52.46
CAH,5/31/2018,52.46
CAH,6/1/2018,52.66
CAH,6/4/2018,52.64
CAH,6/5/2018,52.81
CAH,6/6/2018,53.54
CAH,6/7/2018,52.95
CAH,6/8/2018,53.35
CAH,6/11/2018,53.81
CAH,6/12/2018,53.55
CAH,6/13/2018,54.2
CAH,6/14/2018,54.62
CAH,6/15/2018,54.75
CAH,6/18/2018,53
CAH,6/19/2018,54.1
CAH,6/20/2018,54.25
CAH,6/21/2018,53.54
CAH,6/22/2018,53.98
CAH,6/25/2018,53.34
CAH,6/26/2018,53.32
CAH,6/27/2018,52.93
CAH,6/28/2018,50.37
CAH,6/29/2018,48.83
CAH,7/2/2018,49.15
CAH,7/3/2018,49.5
CAH,7/5/2018,50.04
CAH,7/6/2018,49.94
CAH,7/9/2018,50.26
CAH,7/10/2018,50.17
CAH,7/11/2018,49.96
CAH,7/12/2018,50.26
CAH,7/13/2018,50.8
CAH,7/16/2018,50.71
CAH,7/17/2018,49.97
CAH,7/18/2018,49.49
CAH,7/19/2018,49
CAH,7/20/2018,48.8
CAH,7/23/2018,49.16
CAH,7/24/2018,49.19
CAH,7/25/2018,49.42
CAH,7/26/2018,49.28
CAH,7/27/2018,49.32
CAH,7/30/2018,50.16
CAH,7/31/2018,49.95
CAH,8/1/2018,50.04
CAH,8/2/2018,49.98
CAH,8/3/2018,50.3
CAH,8/6/2018,50.05
CAH,8/7/2018,50.8
CAH,8/8/2018,48.96
CAH,8/9/2018,49.37
CAH,8/10/2018,48.4
CAH,8/13/2018,49.06
CAH,8/14/2018,50.17
CAH,8/15/2018,50.25
CAH,8/16/2018,50.45
CAH,8/17/2018,51.9
CAH,8/20/2018,51.75
CAH,8/21/2018,51.66
CAH,8/22/2018,51.26
CAH,8/23/2018,51.33
CAH,8/24/2018,51.83
CAH,8/27/2018,52.47
CAH,8/28/2018,52.25
CAH,8/29/2018,52.28
CAH,8/30/2018,52.45
CAH,8/31/2018,52.19
CAH,9/4/2018,51.23
CAH,9/5/2018,52.36
CAH,9/6/2018,52.11
CAH,9/7/2018,52.62
CAH,9/10/2018,52.88
CAH,9/11/2018,52.13
CAH,9/12/2018,52.94
CAH,9/13/2018,52.94
CAH,9/14/2018,52.1
CAH,9/17/2018,52.6
CAH,9/18/2018,53.6
CAH,9/19/2018,53.94
CAH,9/20/2018,55.17
CAH,9/21/2018,54.94
CAH,9/24/2018,53.91
CAH,9/25/2018,53.33
CAH,9/26/2018,53.63
CAH,9/27/2018,54.06
CAH,9/28/2018,54
CAH,10/1/2018,53.94
CAH,10/2/2018,53.98
CAH,10/3/2018,53.97
CAH,10/4/2018,53.59
CAH,10/5/2018,53.79
CAH,10/8/2018,54.44
CAH,10/9/2018,54.38
CAH,10/10/2018,54.22
CAH,10/11/2018,51.53
CAH,10/12/2018,51.63
CAH,10/15/2018,51.53
CAH,10/16/2018,52.65
CAH,10/17/2018,53.52
CAH,10/18/2018,53.42
CAH,10/19/2018,53.19
CAH,10/22/2018,52.01
CAH,10/23/2018,51.83
CAH,10/24/2018,49.6
CAH,10/25/2018,50.64
CAH,10/26/2018,49.92
CAH,10/29/2018,50.24
