Symbol,Trade DATE,NOCP
SRE,5/11/2018,107.08
SRE,5/14/2018,106.51
SRE,5/15/2018,105.24
SRE,5/16/2018,103.34
SRE,5/17/2018,102.18
SRE,5/18/2018,101.97
SRE,5/21/2018,102.64
SRE,5/22/2018,103.43
SRE,5/23/2018,104.86
SRE,5/24/2018,105.21
SRE,5/25/2018,105.19
SRE,5/29/2018,105.79
SRE,5/30/2018,106.24
SRE,5/31/2018,106.24
SRE,6/1/2018,104.3
SRE,6/4/2018,103.4
SRE,6/5/2018,102.81
SRE,6/6/2018,100.71
SRE,6/7/2018,100.76
SRE,6/8/2018,101.43
SRE,6/11/2018,117.19
SRE,6/12/2018,117.13
SRE,6/13/2018,114.01
SRE,6/14/2018,113.32
SRE,6/15/2018,111.91
SRE,6/18/2018,112.67
SRE,6/19/2018,113.27
SRE,6/20/2018,112.56
SRE,6/21/2018,113.09
SRE,6/22/2018,115.14
SRE,6/25/2018,116.61
SRE,6/26/2018,115.73
SRE,6/27/2018,115.93
SRE,6/28/2018,115.11
SRE,6/29/2018,116.11
SRE,7/2/2018,115.54
SRE,7/3/2018,116.12
SRE,7/5/2018,117.3
SRE,7/6/2018,117.78
SRE,7/9/2018,115.63
SRE,7/10/2018,117.3
SRE,7/11/2018,115.68
SRE,7/12/2018,115.63
SRE,7/13/2018,116.51
SRE,7/16/2018,115.76
SRE,7/17/2018,115.61
SRE,7/18/2018,114.32
SRE,7/19/2018,115.31
SRE,7/20/2018,114.26
SRE,7/23/2018,113.57
SRE,7/24/2018,114.5
SRE,7/25/2018,115.47
SRE,7/26/2018,115.77
SRE,7/27/2018,114.97
SRE,7/30/2018,114.48
SRE,7/31/2018,115.59
SRE,8/1/2018,114.9
SRE,8/2/2018,116.03
SRE,8/3/2018,116.79
SRE,8/6/2018,115.35
SRE,8/7/2018,115.97
SRE,8/8/2018,115.07
SRE,8/9/2018,114.73
SRE,8/10/2018,114.44
SRE,8/13/2018,114.89
SRE,8/14/2018,114.24
SRE,8/15/2018,114.45
SRE,8/16/2018,116.02
SRE,8/17/2018,116.85
SRE,8/20/2018,116.95
SRE,8/21/2018,116.23
SRE,8/22/2018,115.48
SRE,8/23/2018,115.68
SRE,8/24/2018,116.4
SRE,8/27/2018,115.64
SRE,8/28/2018,115.57
SRE,8/29/2018,116.67
SRE,8/30/2018,116.6
SRE,8/31/2018,116.08
SRE,9/4/2018,116.99
SRE,9/5/2018,118.14
SRE,9/6/2018,118.03
SRE,9/7/2018,116.85
SRE,9/10/2018,117.6
SRE,9/11/2018,117.22
SRE,9/12/2018,117.78
SRE,9/13/2018,118.67
SRE,9/14/2018,118.73
SRE,9/17/2018,118.87
SRE,9/18/2018,117.27
SRE,9/19/2018,115.14
SRE,9/20/2018,114.32
SRE,9/21/2018,115.21
SRE,9/24/2018,113.58
SRE,9/25/2018,112.47
SRE,9/26/2018,111.06
SRE,9/27/2018,112
SRE,9/28/2018,113.75
SRE,10/1/2018,113.83
SRE,10/2/2018,115.74
SRE,10/3/2018,114.62
SRE,10/4/2018,114.89
SRE,10/5/2018,116.2
SRE,10/8/2018,116.55
SRE,10/9/2018,116.4
SRE,10/10/2018,115.46
SRE,10/11/2018,114.47
SRE,10/12/2018,115.03
SRE,10/15/2018,115.1
SRE,10/16/2018,115.76
SRE,10/17/2018,115.3
SRE,10/18/2018,115.91
SRE,10/19/2018,116.61
SRE,10/22/2018,115.62
SRE,10/23/2018,114.19
SRE,10/24/2018,115.9
SRE,10/25/2018,115.04
SRE,10/26/2018,112.81
SRE,10/29/2018,112.54
SRE,10/30/2018,111.8
SRE,10/31/2018,110.12
SRE,11/1/2018,110.05
SRE,11/2/2018,109.05
SRE,11/5/2018,112.57
SRE,11/6/2018,113.2
SRE,11/7/2018,117.56
SRE,11/8/2018,117.97
SRE,11/9/2018,116.7
SRE,11/12/2018,115.4
SRE,11/13/2018,116.01
SRE,11/14/2018,112.76
SRE,11/15/2018,110.98
SRE,11/16/2018,114.87
SRE,11/19/2018,115.24
SRE,11/20/2018,113.93
SRE,11/21/2018,112.01
SRE,11/23/2018,112.11
SRE,11/26/2018,112.04
SRE,11/27/2018,112.69
SRE,11/28/2018,113.24
SRE,11/29/2018,112.67
SRE,11/30/2018,115.22
SRE,12/3/2018,116.45
SRE,12/4/2018,116.86
SRE,12/6/2018,115.7
SRE,12/7/2018,115.95
SRE,12/10/2018,116.19
SRE,12/11/2018,117.06
SRE,12/12/2018,116.66
SRE,12/13/2018,117.6
SRE,12/14/2018,118.49
SRE,12/17/2018,114.93
SRE,12/18/2018,113.84
SRE,12/19/2018,113.94
SRE,12/20/2018,113.06
SRE,12/21/2018,111.82
SRE,12/24/2018,107.4
SRE,12/26/2018,107.99
SRE,12/27/2018,107.61
SRE,12/28/2018,107.27
SRE,12/31/2018,108.19
SRE,1/2/2019,106.76
SRE,1/3/2019,107.25
SRE,1/4/2019,110.46
SRE,1/7/2019,110.44
SRE,1/8/2019,113.53
SRE,1/9/2019,112.42
SRE,1/10/2019,114.43
SRE,1/11/2019,114.06
SRE,1/14/2019,111.76
SRE,1/15/2019,112.55
SRE,1/16/2019,112.66
SRE,1/17/2019,112.36
SRE,1/18/2019,112.67
SRE,1/22/2019,112.37
SRE,1/23/2019,112.91
SRE,1/24/2019,113.35
SRE,1/25/2019,113.1
SRE,1/28/2019,113
SRE,1/29/2019,113.85
SRE,1/30/2019,114.9
SRE,1/31/2019,116.98
SRE,2/1/2019,116.75
SRE,2/4/2019,117.19
SRE,2/5/2019,117.09
SRE,2/6/2019,117.75
SRE,2/7/2019,118.02
SRE,2/8/2019,117.92
SRE,2/11/2019,114.95
SRE,2/12/2019,114.12
SRE,2/13/2019,114.24
SRE,2/14/2019,114.05
SRE,2/15/2019,115.26
SRE,2/19/2019,116.27
SRE,2/20/2019,117.13
SRE,2/21/2019,117.67
SRE,2/22/2019,118.48
SRE,2/25/2019,117.59
SRE,2/26/2019,118.9
SRE,2/27/2019,120.33
SRE,2/28/2019,120.44
SRE,3/1/2019,121.26
SRE,3/4/2019,121.33
SRE,3/5/2019,121.08
SRE,3/6/2019,120.97
SRE,3/7/2019,121.7
SRE,3/8/2019,122.3
SRE,3/11/2019,123.19
SRE,3/12/2019,124
SRE,3/13/2019,124.34
SRE,3/14/2019,124.45
SRE,3/15/2019,124.62
SRE,3/18/2019,124.65
SRE,3/19/2019,123.93
SRE,3/20/2019,125.05
SRE,3/21/2019,125.87
SRE,3/22/2019,126.07
SRE,3/25/2019,125.04
SRE,3/26/2019,125.48
SRE,3/27/2019,125.41
SRE,3/28/2019,124.47
SRE,3/29/2019,125.86
SRE,4/1/2019,126.63
SRE,4/2/2019,127.24
SRE,4/3/2019,127.24
SRE,4/4/2019,127.02
SRE,4/5/2019,128.24
SRE,4/8/2019,127.79
SRE,4/9/2019,127.89
SRE,4/10/2019,127.43
SRE,4/11/2019,128.1
SRE,4/12/2019,129.85
SRE,4/15/2019,128.56
SRE,4/16/2019,127.27
SRE,4/17/2019,127.29
SRE,4/18/2019,127.41
SRE,4/22/2019,125.38
SRE,4/23/2019,126.12
SRE,4/24/2019,126.41
SRE,4/25/2019,127.34
SRE,4/26/2019,128.05
SRE,4/29/2019,125.8
SRE,4/30/2019,127.95
SRE,5/1/2019,126.2
SRE,5/2/2019,125.97
SRE,5/3/2019,127.45
SRE,5/6/2019,126.39
SRE,5/7/2019,125.71
SRE,5/8/2019,125.76
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
SRE,,
