Symbol,Trade DATE,NOCP
SRE,1/2/2019,106.76
SRE,1/3/2019,107.25
SRE,1/4/2019,110.46
SRE,1/7/2019,110.44
SRE,1/8/2019,113.53
SRE,1/9/2019,112.42
SRE,1/10/2019,114.43
SRE,1/11/2019,114.06
SRE,1/14/2019,111.76
SRE,1/15/2019,112.55
SRE,1/16/2019,112.66
SRE,1/17/2019,112.36
SRE,1/18/2019,112.67
SRE,1/22/2019,112.37
SRE,1/23/2019,112.91
SRE,1/24/2019,113.35
SRE,1/25/2019,113.1
SRE,1/28/2019,113
SRE,1/29/2019,113.85
SRE,1/30/2019,114.9
SRE,1/31/2019,116.98
SRE,2/1/2019,116.75
SRE,2/4/2019,117.19
SRE,2/5/2019,117.09
SRE,2/6/2019,117.75
SRE,2/7/2019,118.02
SRE,2/8/2019,117.92
SRE,2/11/2019,114.95
SRE,2/12/2019,114.12
SRE,2/13/2019,114.24
SRE,2/14/2019,114.05
SRE,2/15/2019,115.26
SRE,2/19/2019,116.27
SRE,2/20/2019,117.13
SRE,2/21/2019,117.67
SRE,2/22/2019,118.48
SRE,2/25/2019,117.59
SRE,2/26/2019,118.9
SRE,2/27/2019,120.33
SRE,2/28/2019,120.44
SRE,3/1/2019,121.26
SRE,3/4/2019,121.33
SRE,3/5/2019,121.08
SRE,3/6/2019,120.97
SRE,3/7/2019,121.7
SRE,3/8/2019,122.3
SRE,3/11/2019,123.19
SRE,3/12/2019,124
SRE,3/13/2019,124.34
SRE,3/14/2019,124.45
SRE,3/15/2019,124.62
SRE,3/18/2019,124.65
SRE,3/19/2019,123.93
SRE,3/20/2019,125.05
SRE,3/21/2019,125.87
SRE,3/22/2019,126.07
SRE,3/25/2019,125.04
SRE,3/26/2019,125.48
SRE,3/27/2019,125.41
SRE,3/28/2019,124.47
SRE,3/29/2019,125.86
SRE,4/1/2019,126.63
SRE,4/2/2019,127.24
SRE,4/3/2019,127.24
SRE,4/4/2019,127.02
SRE,4/5/2019,128.24
SRE,4/8/2019,127.79
SRE,4/9/2019,127.89
SRE,4/10/2019,127.43
SRE,4/11/2019,128.1
SRE,4/12/2019,129.85
SRE,4/15/2019,128.56
SRE,4/16/2019,127.27
SRE,4/17/2019,127.29
SRE,4/18/2019,127.41
SRE,4/22/2019,125.38
SRE,4/23/2019,126.12
SRE,4/24/2019,126.41
SRE,4/25/2019,127.34
SRE,4/26/2019,128.05
SRE,4/29/2019,125.8
SRE,4/30/2019,127.95
SRE,5/1/2019,126.2
SRE,5/2/2019,125.97
SRE,5/3/2019,127.45
SRE,5/6/2019,126.39
SRE,5/7/2019,125.71
SRE,5/8/2019,125.76
SRE,5/9/2019,126.21
SRE,5/10/2019,129.21
SRE,5/13/2019,129.32
SRE,5/14/2019,129.36
SRE,5/15/2019,129.88
SRE,5/16/2019,130.72
SRE,5/17/2019,130.45
SRE,5/20/2019,131.18
SRE,5/21/2019,131.5
SRE,5/22/2019,134.3
SRE,5/23/2019,135.88
SRE,5/24/2019,134.35
SRE,5/28/2019,133.1
SRE,5/29/2019,130.75
SRE,5/30/2019,131.57
SRE,5/31/2019,131.45
SRE,6/3/2019,131.91
SRE,6/4/2019,132.19
SRE,6/5/2019,134.02
SRE,6/6/2019,134.98
SRE,6/7/2019,134.49
SRE,6/10/2019,134.09
SRE,6/11/2019,134.72
SRE,6/12/2019,135.69
SRE,6/13/2019,136.84
SRE,6/14/2019,137.76
SRE,6/17/2019,137.95
SRE,6/18/2019,137.25
SRE,6/19/2019,139.06
SRE,6/20/2019,140.32
SRE,6/21/2019,141.04
SRE,6/24/2019,140.85
SRE,6/25/2019,140.47
SRE,6/26/2019,137.01
SRE,6/27/2019,135.54
SRE,6/28/2019,137.44
SRE,7/1/2019,136.66
SRE,7/2/2019,138.2
SRE,7/3/2019,137.65
SRE,7/5/2019,138.38
SRE,7/8/2019,138.52
SRE,7/9/2019,139.05
SRE,7/10/2019,139.66
SRE,7/11/2019,140.39
SRE,7/12/2019,139.89
SRE,7/15/2019,139.99
SRE,7/16/2019,139.26
SRE,7/17/2019,139.95
SRE,7/18/2019,141.17
SRE,7/19/2019,140.05
SRE,7/22/2019,140.57
SRE,7/23/2019,138.95
SRE,7/24/2019,139.76
SRE,7/25/2019,140.46
SRE,7/26/2019,140.26
SRE,7/29/2019,139.5
SRE,7/30/2019,136.47
SRE,7/31/2019,135.43
SRE,8/1/2019,135.68
SRE,8/2/2019,135.68
SRE,8/5/2019,132.12
SRE,8/6/2019,133.93
SRE,8/7/2019,135.16
SRE,8/8/2019,136.71
SRE,8/9/2019,137.68
SRE,8/12/2019,137.14
SRE,8/13/2019,137.35
SRE,8/14/2019,136.75
SRE,8/15/2019,138.54
SRE,8/16/2019,138.88
SRE,8/19/2019,139.64
SRE,8/20/2019,139.66
SRE,8/21/2019,140.83
SRE,8/22/2019,140.13
SRE,8/23/2019,139.01
SRE,8/26/2019,141.79
SRE,8/27/2019,141.43
SRE,8/28/2019,142
SRE,8/29/2019,142.24
SRE,8/30/2019,141.63
SRE,9/3/2019,143.5
SRE,9/4/2019,144
SRE,9/5/2019,141.83
SRE,9/6/2019,142
SRE,9/9/2019,141.01
SRE,9/10/2019,141.77
SRE,9/11/2019,143.26
SRE,9/12/2019,143.66
SRE,9/13/2019,141.7
SRE,9/16/2019,141.75
SRE,9/17/2019,143.04
SRE,9/18/2019,140.2
SRE,9/19/2019,140.81
SRE,9/20/2019,142.22
SRE,9/23/2019,141.87
SRE,9/24/2019,144.24
SRE,9/25/2019,144.01
SRE,9/26/2019,144.73
SRE,9/27/2019,144.48
SRE,9/30/2019,147.61
SRE,10/1/2019,146.08
SRE,10/2/2019,143.73
SRE,10/3/2019,145.66
SRE,10/4/2019,147.23
SRE,10/7/2019,146.43
SRE,10/8/2019,145.91
SRE,10/9/2019,146.64
SRE,10/10/2019,146.41
SRE,10/11/2019,145.49
SRE,10/14/2019,145.43
SRE,10/15/2019,145
SRE,10/16/2019,144.85
SRE,10/17/2019,144.96
SRE,10/18/2019,146.23
SRE,10/21/2019,146.48
SRE,10/22/2019,146.88
SRE,10/23/2019,148
SRE,10/24/2019,148.06
SRE,10/25/2019,143.97
SRE,10/28/2019,141.17
SRE,10/29/2019,141.2
SRE,10/30/2019,141.56
SRE,10/31/2019,144.51
SRE,11/1/2019,147.29
SRE,11/4/2019,145.84
SRE,11/5/2019,143.35
SRE,11/6/2019,143.22
SRE,11/7/2019,143.22
SRE,11/8/2019,142.12
SRE,11/11/2019,142.33
SRE,11/12/2019,144.93
SRE,11/13/2019,146.85
SRE,11/14/2019,145.47
SRE,11/15/2019,146.13
SRE,11/18/2019,147.63
SRE,11/19/2019,147.21
SRE,11/20/2019,147.86
SRE,11/21/2019,146.8
SRE,11/22/2019,146.6
SRE,11/25/2019,146.37
SRE,11/26/2019,146.89
SRE,11/27/2019,147.56
SRE,11/29/2019,147.27
SRE,12/2/2019,146.41
SRE,12/3/2019,147.92
SRE,12/4/2019,147.58
SRE,12/5/2019,147.39
SRE,12/6/2019,145.84
SRE,12/9/2019,145.83
SRE,12/10/2019,147.48
SRE,12/11/2019,148.77
SRE,12/12/2019,146.89
SRE,12/13/2019,148.78
SRE,12/16/2019,150.64
SRE,12/17/2019,150.12
SRE,12/18/2019,151.64
SRE,12/19/2019,152.03
SRE,12/20/2019,151.38
SRE,12/23/2019,150.56
SRE,12/24/2019,150.65
SRE,12/26/2019,151.62
SRE,12/27/2019,150.87
SRE,43829.66667,151.05
SRE,43830.66667,151.48
SRE,43832.66667,149.12
SRE,43833.66667,147.76
SRE,43836.66667,149
SRE,43837.66667,148.88
SRE,43838.66667,149.9
SRE,43839.66667,148.82
SRE,43840.66667,149.76
SRE,43843.66667,151.17
SRE,43844.66667,151.22
SRE,43845.66667,154.14
SRE,43846.66667,155.18
SRE,43847.66667,157.2
SRE,43851.66667,157.96
SRE,43852.66667,157.55
SRE,43853.66667,160.06
SRE,43854.66667,159.76
SRE,43857.66667,158.54
SRE,43858.66667,159.82
SRE,43859.66667,158.68
SRE,43860.66667,161.13
SRE,43861.66667,160.64
SRE,43864.66667,161.06
SRE,43865.66667,158.97
SRE,43866.66667,159.05
SRE,43867.66667,160.5
SRE,43868.66667,158.59
SRE,43871.66667,157.98
SRE,43872.66667,158.56
SRE,43873.66667,158.89
SRE,43874.66667,159
SRE,43875.66667,160.96
SRE,43879.66667,160.89
SRE,43880.66667,159.73
SRE,43881.66667,159.89
SRE,43882.66667,158.43
SRE,43885.66667,154.16
SRE,43886.66667,149.57
SRE,43887.66667,146.87
SRE,43888.66667,141.42
SRE,43889.66667,139.78
SRE,43892.66667,142.23
SRE,43893.66667,141.02
SRE,43894.66667,147.84
SRE,43895.66667,141.76
SRE,43896.66667,141.87
SRE,43899.66667,127.76
SRE,43900.66667,130.6
SRE,43901.66667,122.95
SRE,43902.66667,104.27
SRE,43903.66667,106.92
SRE,43906.66667,88.62
SRE,43907.66667,98.38
SRE,43908.66667,102.4
SRE,43909.66667,100
SRE,43910.66667,99.64
SRE,43913.66667,93.42
SRE,43914.66667,104.03
SRE,43915.66667,114.02
SRE,43916.66667,123.6
SRE,43917.66667,121.13
SRE,43920.66667,119.99
SRE,43921.66667,112.99
SRE,43922.66667,103.71
SRE,43923.66667,106.26
SRE,43924.66667,104.28
SRE,43927.66667,114.04
SRE,43928.66667,116.67
SRE,43929.66667,122.05
SRE,43930.66667,130.53
SRE,43934.66667,126.98
SRE,43935.66667,127.93
SRE,43936.66667,121.51
SRE,43937.66667,117.46
SRE,43938.66667,124.44
SRE,43941.66667,122.57
SRE,43942.66667,119.27
SRE,43943.66667,123.66
SRE,43944.66667,125.5
SRE,43945.66667,126.97
SRE,43948.66667,128.8
SRE,43949.66667,126.96
SRE,43950.66667,129.58
SRE,43951.66667,123.85
SRE,43952.66667,119.93
SRE,43955.66667,124.12
SRE,43956.66667,124.22
SRE,43957.66667,122.02
SRE,43958.66667,123.73
SRE,43959.66667,124.23
SRE,43962.66667,124.8
SRE,43963.66667,121.39
SRE,43964.66667,118.25
SRE,43965.66667,120.34
SRE,43966.66667,119.2
SRE,43969.66667,124
SRE,43970.66667,126.1
SRE,43971.66667,122.64
SRE,43972.66667,121.08
SRE,43973.66667,123.81
SRE,43977.66667,125.23
SRE,43978.66667,124.9
SRE,43979.66667,127.39
SRE,43980.66667,126.31
SRE,43983.66667,129.07
SRE,43984.66667,130.32
SRE,43985.66667,131.6
SRE,43986.66667,128.79
SRE,43987.66667,133.79
SRE,43990.66667,134.79
SRE,43991.66667,130.31
SRE,43992.66667,128.56
SRE,43993.66667,123.48
SRE,43994.66667,124.05
SRE,43997.66667,125.25
SRE,43998.66667,124.36
SRE,43999.66667,124.17
SRE,44000.66667,124.56
SRE,44001.66667,117.25
SRE,44004.66667,119.45
SRE,44005.66667,119.48
SRE,44006.66667,120.04
SRE,44007.66667,117.32
SRE,44008.66667,112.61
SRE,44011.66667,118.12
SRE,44012.66667,117.23
SRE,44013.66667,121.35
SRE,44014.66667,120.94
SRE,44018.66667,120.45
SRE,44019.66667,117.76
SRE,44020.66667,117.25
SRE,44021.66667,116.29
SRE,44022.66667,119.17
SRE,44025.66667,120.17
SRE,44026.66667,121.84
SRE,44027.66667,123.15
SRE,44028.66667,122.63
SRE,44029.66667,124.82
SRE,44032.66667,122.62
SRE,44033.66667,125.28
SRE,44034.66667,127.88
SRE,44035.66667,127.34
SRE,44036.66667,125.62
SRE,44039.66667,122.98
SRE,44040.66667,124.65
SRE,44041.66667,125.01
SRE,44042.66667,123.75
SRE,44043.66667,124.46
SRE,44046.66667,124.04
SRE,44047.66667,125.02
SRE,44048.66667,127.03
SRE,44049.66667,128.2
SRE,44050.66667,129.9
SRE,44053.66667,133.57
SRE,44054.66667,131.11
SRE,44055.66667,134.19
SRE,44056.66667,134.66
SRE,44057.66667,131.89
SRE,44060.66667,129.68
SRE,44061.66667,129.36
SRE,44062.66667,128.22
SRE,44063.66667,126.22
SRE,44064.66667,125.48
SRE,44067.66667,127.37
SRE,44068.66667,125.51
SRE,44069.66667,122.34
SRE,44070.66667,123.59
SRE,44071.66667,122.32
SRE,44074.66667,123.65
SRE,44075.66667,122.25
SRE,44076.66667,124.55
SRE,44077.66667,122.72
SRE,44078.66667,120.89
SRE,44082.66667,119.09
SRE,44083.66667,120.95
SRE,44084.66667,118.12
SRE,44085.66667,117.8
SRE,44088.66667,119.15
SRE,44089.66667,117.63
SRE,44090.66667,120.84
SRE,44091.66667,121.03
SRE,44092.66667,119.98
SRE,44095.66667,116.66
SRE,44096.66667,119.05
SRE,44097.66667,114.5
SRE,44098.66667,115.74
SRE,44099.66667,117.61
SRE,44102.66667,116.71
SRE,44103.66667,116.18
SRE,44104.66667,118.36
SRE,44105.66667,119.13
SRE,44106.66667,120.5
SRE,44109.66667,121.77
SRE,44110.66667,122.23
SRE,44111.66667,122.72
SRE,44112.66667,126.71
SRE,44113.66667,126.01
SRE,44116.66667,126.78
SRE,44117.66667,126.55
SRE,44118.66667,127.09
SRE,44119.66667,128.54
SRE,44120.66667,128.11
SRE,44123.66667,127.97
SRE,44124.66667,129.68
SRE,44125.66667,129.3
SRE,44126.66667,132.28
SRE,44127.66667,133.86
SRE,44130.66667,131.32
SRE,44131.66667,130.27
SRE,44132.66667,126.1
SRE,44133.66667,127.22
SRE,44134.66667,125.36
SRE,44137.66667,127.62
SRE,44138.66667,129.1
SRE,44139.66667,128.43
SRE,44140.66667,127.01
SRE,44141.66667,124.83
SRE,44144.66667,130.39
SRE,44145.66667,135.96
SRE,44146.66667,133.64
SRE,44147.66667,132.3
SRE,44148.66667,134.55
SRE,44151.66667,135.44
SRE,44152.66667,134.06
SRE,44153.66667,133.04
SRE,44154.66667,130.25
SRE,44155.66667,130.42
SRE,44158.66667,131.04
SRE,44159.66667,132.31
SRE,44160.66667,131.96
SRE,44162.54167,130.46
SRE,44165.66667,127.48
SRE,44166.66667,127.76
SRE,44167.66667,131.43
SRE,44168.66667,132.01
SRE,44169.66667,128.17
SRE,44172.66667,128.23
SRE,44173.66667,129.3
SRE,44174.66667,128.96
SRE,44175.66667,128.73
SRE,44176.66667,128
SRE,44179.66667,128.04
SRE,44180.66667,130.95
SRE,44181.66667,129.12
SRE,44182.66667,131.74
SRE,44183.66667,130.7
SRE,44186.66667,126.71
SRE,44187.66667,126.27
SRE,44188.66667,125.95
SRE,44189.54167,125.9
SRE,44193.66667,126.49
SRE,44194.66667,126.39
SRE,44195.66667,125.82
